state_code,county_code,site_num,parameter_code,poc,latitude,longitude,datum,parameter_name,sample_duration,pollutant_standard,date_local,units_of_measure,event_type,observation_count,observation_percent,arithmetic_mean,first_max_value,first_max_hour,aqi,method_code,method_name,local_site_name,address,state_name,county_name,city_name,cbsa_name,date_of_last_change
38,057,0102,62101,1,47.325,-101.765833,NAD27,Outdoor Temperature,1 HOUR,,12/18/1990,Degrees Fahrenheit,None,24,100,10.5,19,0,,41,INSTRUMENTAL - ELEC. OR MACH. AVG. LEVEL 1,609 60TH AVE. SW,DGC #12,North Dakota,Mercer,Not in a city,,6/11/2013
38,057,0102,62101,1,47.325,-101.765833,NAD27,Outdoor Temperature,1 HOUR,,12/19/1990,Degrees Fahrenheit,None,19,79,-9.105263,-4,0,,41,INSTRUMENTAL - ELEC. OR MACH. AVG. LEVEL 1,609 60TH AVE. SW,DGC #12,North Dakota,Mercer,Not in a city,,6/11/2013
38,057,0102,62101,1,47.325,-101.765833,NAD27,Outdoor Temperature,1 HOUR,,12/21/1990,Degrees Fahrenheit,None,24,100,-19.166667,-18,0,,41,INSTRUMENTAL - ELEC. OR MACH. AVG. LEVEL 1,609 60TH AVE. SW,DGC #12,North Dakota,Mercer,Not in a city,,6/11/2013
38,057,0102,62101,1,47.325,-101.765833,NAD27,Outdoor Temperature,1 HOUR,,12/28/1990,Degrees Fahrenheit,None,15,63,-11.133333,-3,0,,41,INSTRUMENTAL - ELEC. OR MACH. AVG. LEVEL 1,609 60TH AVE. SW,DGC #12,North Dakota,Mercer,Not in a city,,6/11/2013
38,057,0102,62101,1,47.325,-101.765833,NAD27,Outdoor Temperature,1 HOUR,,9/13/1990,Degrees Fahrenheit,None,24,100,62.916667,76,1,,41,INSTRUMENTAL - ELEC. OR MACH. AVG. LEVEL 1,609 60TH AVE. SW,DGC #12,North Dakota,Mercer,Not in a city,,6/11/2013
38,057,0102,62101,1,47.325,-101.765833,NAD27,Outdoor Temperature,1 HOUR,,11/30/1990,Degrees Fahrenheit,None,24,100,32.875,41,1,,41,INSTRUMENTAL - ELEC. OR MACH. AVG. LEVEL 1,609 60TH AVE. SW,DGC #12,North Dakota,Mercer,Not in a city,,6/11/2013
38,057,0102,62101,1,47.325,-101.765833,NAD27,Outdoor Temperature,1 HOUR,,4/4/1990,Degrees Fahrenheit,None,24,100,35.25,49,9,,41,INSTRUMENTAL - ELEC. OR MACH. AVG. LEVEL 1,609 60TH AVE. SW,DGC #12,North Dakota,Mercer,Not in a city,,6/11/2013
38,057,0102,62101,1,47.325,-101.765833,NAD27,Outdoor Temperature,1 HOUR,,1/10/1990,Degrees Fahrenheit,None,24,100,39.25,51,10,,41,INSTRUMENTAL - ELEC. OR MACH. AVG. LEVEL 1,609 60TH AVE. SW,DGC #12,North Dakota,Mercer,Not in a city,,6/11/2013
38,057,0102,62101,1,47.325,-101.765833,NAD27,Outdoor Temperature,1 HOUR,,4/15/1990,Degrees Fahrenheit,None,24,100,45.166667,59,10,,41,INSTRUMENTAL - ELEC. OR MACH. AVG. LEVEL 1,609 60TH AVE. SW,DGC #12,North Dakota,Mercer,Not in a city,,6/11/2013
38,057,0102,62101,1,47.325,-101.765833,NAD27,Outdoor Temperature,1 HOUR,,5/30/1990,Degrees Fahrenheit,None,24,100,65.375,72,10,,41,INSTRUMENTAL - ELEC. OR MACH. AVG. LEVEL 1,609 60TH AVE. SW,DGC #12,North Dakota,Mercer,Not in a city,,6/11/2013
38,057,0102,62101,1,47.325,-101.765833,NAD27,Outdoor Temperature,1 HOUR,,6/19/1990,Degrees Fahrenheit,None,24,100,65.041667,74,10,,41,INSTRUMENTAL - ELEC. OR MACH. AVG. LEVEL 1,609 60TH AVE. SW,DGC #12,North Dakota,Mercer,Not in a city,,6/11/2013
38,057,0102,62101,1,47.325,-101.765833,NAD27,Outdoor Temperature,1 HOUR,,8/24/1990,Degrees Fahrenheit,None,24,100,66.958333,82,10,,41,INSTRUMENTAL - ELEC. OR MACH. AVG. LEVEL 1,609 60TH AVE. SW,DGC #12,North Dakota,Mercer,Not in a city,,6/11/2013
38,057,0102,62101,1,47.325,-101.765833,NAD27,Outdoor Temperature,1 HOUR,,1/22/1990,Degrees Fahrenheit,None,24,100,32.958333,35,11,,41,INSTRUMENTAL - ELEC. OR MACH. AVG. LEVEL 1,609 60TH AVE. SW,DGC #12,North Dakota,Mercer,Not in a city,,6/11/2013
38,057,0102,62101,1,47.325,-101.765833,NAD27,Outdoor Temperature,1 HOUR,,1/26/1990,Degrees Fahrenheit,None,24,100,37.708333,48,11,,41,INSTRUMENTAL - ELEC. OR MACH. AVG. LEVEL 1,609 60TH AVE. SW,DGC #12,North Dakota,Mercer,Not in a city,,6/11/2013
38,057,0102,62101,1,47.325,-101.765833,NAD27,Outdoor Temperature,1 HOUR,,1/29/1990,Degrees Fahrenheit,None,24,100,21.791667,44,11,,41,INSTRUMENTAL - ELEC. OR MACH. AVG. LEVEL 1,609 60TH AVE. SW,DGC #12,North Dakota,Mercer,Not in a city,,6/11/2013
38,057,0102,62101,1,47.325,-101.765833,NAD27,Outdoor Temperature,1 HOUR,,3/1/1990,Degrees Fahrenheit,None,24,100,38.791667,53,11,,41,INSTRUMENTAL - ELEC. OR MACH. AVG. LEVEL 1,609 60TH AVE. SW,DGC #12,North Dakota,Mercer,Not in a city,,6/11/2013
38,057,0102,62101,1,47.325,-101.765833,NAD27,Outdoor Temperature,1 HOUR,,3/14/1990,Degrees Fahrenheit,None,24,100,28.583333,31,11,,41,INSTRUMENTAL - ELEC. OR MACH. AVG. LEVEL 1,609 60TH AVE. SW,DGC #12,North Dakota,Mercer,Not in a city,,6/11/2013
38,057,0102,62101,1,47.325,-101.765833,NAD27,Outdoor Temperature,1 HOUR,,5/8/1990,Degrees Fahrenheit,None,24,100,46.041667,56,11,,41,INSTRUMENTAL - ELEC. OR MACH. AVG. LEVEL 1,609 60TH AVE. SW,DGC #12,North Dakota,Mercer,Not in a city,,6/11/2013
38,057,0102,62101,1,47.325,-101.765833,NAD27,Outdoor Temperature,1 HOUR,,5/18/1990,Degrees Fahrenheit,None,24,100,44.875,52,11,,41,INSTRUMENTAL - ELEC. OR MACH. AVG. LEVEL 1,609 60TH AVE. SW,DGC #12,North Dakota,Mercer,Not in a city,,6/11/2013
38,057,0102,62101,1,47.325,-101.765833,NAD27,Outdoor Temperature,1 HOUR,,6/5/1990,Degrees Fahrenheit,None,24,100,55.875,61,11,,41,INSTRUMENTAL - ELEC. OR MACH. AVG. LEVEL 1,609 60TH AVE. SW,DGC #12,North Dakota,Mercer,Not in a city,,6/11/2013
38,057,0102,62101,1,47.325,-101.765833,NAD27,Outdoor Temperature,1 HOUR,,6/7/1990,Degrees Fahrenheit,None,24,100,60.541667,71,11,,41,INSTRUMENTAL - ELEC. OR MACH. AVG. LEVEL 1,609 60TH AVE. SW,DGC #12,North Dakota,Mercer,Not in a city,,6/11/2013
38,057,0102,62101,1,47.325,-101.765833,NAD27,Outdoor Temperature,1 HOUR,,6/14/1990,Degrees Fahrenheit,None,24,100,51.625,54,11,,41,INSTRUMENTAL - ELEC. OR MACH. AVG. LEVEL 1,609 60TH AVE. SW,DGC #12,North Dakota,Mercer,Not in a city,,6/11/2013
38,057,0102,62101,1,47.325,-101.765833,NAD27,Outdoor Temperature,1 HOUR,,7/21/1990,Degrees Fahrenheit,None,24,100,60.208333,66,11,,41,INSTRUMENTAL - ELEC. OR MACH. AVG. LEVEL 1,609 60TH AVE. SW,DGC #12,North Dakota,Mercer,Not in a city,,6/11/2013
38,057,0102,62101,1,47.325,-101.765833,NAD27,Outdoor Temperature,1 HOUR,,11/5/1990,Degrees Fahrenheit,None,24,100,30.541667,37,11,,41,INSTRUMENTAL - ELEC. OR MACH. AVG. LEVEL 1,609 60TH AVE. SW,DGC #12,North Dakota,Mercer,Not in a city,,6/11/2013
38,057,0102,62101,1,47.325,-101.765833,NAD27,Outdoor Temperature,1 HOUR,,12/16/1990,Degrees Fahrenheit,None,24,100,20.083333,33,11,,41,INSTRUMENTAL - ELEC. OR MACH. AVG. LEVEL 1,609 60TH AVE. SW,DGC #12,North Dakota,Mercer,Not in a city,,6/11/2013
38,057,0102,62101,1,47.325,-101.765833,NAD27,Outdoor Temperature,1 HOUR,,1/1/1990,Degrees Fahrenheit,None,24,100,29.208333,41,12,,41,INSTRUMENTAL - ELEC. OR MACH. AVG. LEVEL 1,609 60TH AVE. SW,DGC #12,North Dakota,Mercer,Not in a city,,6/11/2013
